group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPS18,81.42208,,0.0,0.0
0,MT-CO1,63.349827,,0.0,0.0
0,MT-CO3,60.152107,,0.0,0.0
0,RPL12,59.39739,,0.0,0.0
0,PLCG2,53.533203,,0.0,0.0
0,KRT15,45.07899,,3.900097808551583e-301,1.3220670537462993e-299
0,MTRNR2L8,43.94167,,0.0,0.0
0,RPS28,42.93634,,4.6314e-320,1.74769e-318
0,MT-ND3,42.665443,,4.927705335903706e-309,1.7918928494195292e-307
0,MT-CYB,41.39107,,1.9636737231958787e-287,5.454649231099663e-286
0,CALML5,30.932428,,1.4249844005894289e-164,1.6285536006736332e-163
0,RPL39,28.729254,,9.749949787702714e-159,1.0893798645477893e-157
0,SAA1,16.415665,,1.0472546424060217e-56,6.3856990390611075e-56
0,PIGR,16.129807,,1.825411143356918e-54,1.093060564884382e-53
0,CLDN4,15.180053,,2.339679885155891e-49,1.3762822853858182e-48
0,SCGB3A1,14.533534,,3.147575511000239e-45,1.803768201146269e-44
0,FASN,13.549374,,6.896054838790946e-40,3.687729860316014e-39
0,MIR205HG,13.144889,,1.1227356353218086e-37,5.893625382266711e-37
0,SNHG25,12.182559,,8.64347572786374e-33,4.310960462774932e-32
0,MT1G,11.749442,,1.052904445906741e-30,5.199528127934523e-30
0,APOC1,9.382114,,1.8982789346997552e-20,8.199909005182528e-20
0,SAA2,8.917497,,1.1912309930001047e-18,4.984230096234748e-18
0,AZGP1,8.125055,,7.273344190365161e-16,2.8467100549374406e-15
0,AC005837.1,8.077837,,1.293091198890679e-15,5.0217133937502095e-15
0,AC025164.1,7.71069,,2.128454684017708e-14,8.047087652240862e-14
0,SOX4,7.4545503,,1.3733707686809268e-13,5.134096331517483e-13
0,HIST1H4C,7.4145865,,1.8789032920863062e-13,6.997249091984945e-13
0,SLPI,7.221728,,7.308114492249402e-13,2.6868067986211034e-12
0,Z93241.1,6.820531,,1.2574219172235966e-11,4.498826179690864e-11
0,LTF,6.6657863,,3.471633711172841e-11,1.2245621556165225e-10
0,DST,6.584062,,5.84655304914332e-11,2.0586454398391973e-10
0,AC097532.2,6.2013,,7.089653237486114e-10,2.453167210202808e-09
0,AC239799.2,6.1281934,,1.1138010440090101e-09,3.8209298250737914e-09
0,FDCSP,6.1065426,,1.2705216458843707e-09,4.328864210849645e-09
0,AC011498.1,6.0389047,,1.9071130097473753e-09,6.47576573768209e-09
0,PPP1R1A,5.890833,,4.613391074030691e-09,1.5533303279564615e-08
0,PRR4,5.5816746,,2.7716289370139572e-08,9.102229678206757e-08
0,ANKRD36C,5.452749,,5.6293566152289465e-08,1.818855126083666e-07
0,HIST1H2BG,5.239879,,1.8120780621316852e-07,5.743512082826261e-07
0,CXCL2,5.0835247,,4.0327933826979755e-07,1.2563219260741356e-06
0,NDUFV2-AS1,4.976127,,7.152829326850402e-07,2.200870562107816e-06
0,AC023157.3,4.461925,,8.631368542635797e-06,2.546126413756872e-05
0,AC108210.1,4.409747,,1.106703234866868e-05,3.250229764660405e-05
0,CSKMT,4.2163115,,2.6069665679601205e-05,7.556424834667017e-05
0,AL136040.1,4.00523,,6.460816309525441e-05,0.00018328556906455155
0,MMP7,3.9800346,,7.16301914645468e-05,0.00020263137613733186
0,MAFA,3.6465635,,0.0002740000218550426,0.0007477672152017596
0,AL021155.5,3.6191206,,0.0003038812811383623,0.0008268878398322784
0,HIST1H2AG,3.6119907,,0.00031258529275556734,0.0008482640237600199
0,AL355075.4,3.527716,,0.00042978736316885257,0.0011507024448965263
0,ARAP2,3.4758923,,0.0005214040133661418,0.0013812026844136206
0,BAIAP3,3.4649763,,0.0005440552430165707,0.0014392995846999226
0,UBE3D,3.447732,,0.0005798685731571572,0.00152596992936094
0,PLIN5,3.3390503,,0.0008588054562178579,0.002216272145078343
0,LALBA,3.332364,,0.0008811351876296206,0.002270966978426857
0,MIR663AHG,3.1595273,,0.0016109777267663487,0.004047682730568715
0,SCGB1D2,3.076022,,0.0021267475606692545,0.0052838448712279615
0,HIST1H1A,3.0487123,,0.0023329154525649418,0.00578169876719936
0,AC007038.1,2.898736,,0.003799433096486951,0.009244362765175063
0,AC103724.3,2.650457,,0.00811891713753428,0.018925214772807182
0,MIR181A1HG,2.6369658,,0.008445098494692408,0.019571491297085537
0,AP003306.2,2.6214063,,0.008842046248611827,0.020326543100257072
0,AL139407.1,2.4876676,,0.012965784807941878,0.029006229995395698
0,NRG1,2.4470735,,0.014507776713437961,0.03220372189442389
0,AL499604.1,2.3232987,,0.020275980026872174,0.04374537222626143
0,AP000845.1,2.287405,,0.022301712120304712,0.047736300170993284
0,AC092634.4,2.282346,,0.022606436223663404,0.04815002390556636
0,SEC31B,2.2692378,,0.02338198958367755,0.04964328998657654
0,HIST1H3A,2.2549038,,0.024262893294214754,0.05145894654128262
0,IL1R2,2.1649766,,0.030536888298439473,0.06315799027598651
0,CXCL3,2.114968,,0.03455868042795986,0.07103531434318575
0,AC009779.2,2.1141503,,0.034649809998096595,0.07114950718294989
0,HIST1H4B,2.0312047,,0.04239613796646398,0.08617101212695931
0,AC132872.5,2.007885,,0.04482780668341018,0.09102092727595976
0,AL354861.2,2.00732,,0.044889092324177,0.09105292560684991
0,AC005920.1,1.9996715,,0.045694436857474166,0.09194051681584339
